id,task,Frame,stream_1,AD_State
28,M,214853,8,1
28,P,246252,0,1
28,P,258047,7,1
28,P,258331,7,0
28,P,258333,7,1
28,P,258386,7,0
28,P,258603,8,0
28,P,258710,8,1
28,P,259755,8,1
28,W,169988,0,1
28,W,182998,7,1
28,W,183309,7,0
28,W,183311,7,1
28,W,183347,7,0
28,W,183548,8,0
28,W,183800,8,1
28,W,186176,8,1
29,D,659203,0,1
29,D,673106,7,1
29,D,673378,7,0
29,D,673380,7,1
29,D,673400,7,0
29,D,673658,8,0
29,D,673982,8,1
29,D,674368,8,1
29,J,701924,0,1
29,J,711976,7,1
29,J,712377,7,0
29,J,712522,8,0
29,J,712831,8,1
29,J,713819,8,1
29,M,629759,0,1
29,M,644562,7,1
29,M,644990,7,0
29,M,645107,8,0
29,M,645508,8,1
29,M,646244,8,1
29,P,678735,0,1
29,P,690400,7,1
29,P,690739,7,0
29,P,690949,8,0
29,P,691257,8,1
29,P,692035,8,1
29,W,724586,0,1
29,W,737531,7,1
29,W,737944,7,0
29,W,738077,8,0
29,W,738398,8,1
29,W,738895,8,1
3,D,215880,0,1
3,D,229911,7,1
3,D,230250,7,0
3,D,230252,7,1
3,D,230272,7,0
3,D,230458,8,0
3,D,230790,8,1
3,D,231232,8,1
3,J,268543,0,1
3,J,278532,7,1
3,J,278919,7,0
3,J,278921,7,1
3,J,278933,7,0
3,J,279078,8,0
3,J,279257,8,1
3,J,279926,8,1
3,M,187259,0,1
3,M,202571,7,1
3,M,202986,7,0
3,M,202988,7,1
3,M,203002,7,0
3,M,203115,8,0
3,M,204036,8,1
3,M,204115,8,0
3,M,204294,8,1
3,M,205721,8,1
3,P,237658,0,1
3,P,249451,7,1
3,P,249784,7,0
3,P,249786,7,1
3,P,249792,7,0
3,P,250002,8,0
3,P,250246,8,1
3,P,251134,8,1
3,W,152989,0,1
3,W,166315,7,1
3,W,166797,7,0
3,W,166857,8,0
3,W,167444,8,1
3,W,168958,8,1
31,D,267019,0,1
31,D,280795,7,1
31,D,281120,7,0
31,D,281122,7,1
31,D,281156,7,0
31,D,281345,8,0
31,D,281996,8,1
31,D,282489,8,1
31,J,186593,0,1
31,J,196519,7,1
31,J,196901,7,0
31,J,196903,7,1
31,J,196919,7,0
31,J,197068,8,0
31,J,197630,8,1
31,J,198504,8,1
31,M,239924,0,1
31,M,254663,7,1
31,M,255055,7,0
31,M,255057,7,1
31,M,255091,7,0
31,M,255212,8,0
31,M,255738,8,1
31,M,257121,8,1
31,P,153739,0,1
31,P,165468,7,1
31,P,165978,7,0
31,P,165980,7,1
31,P,166002,7,0
31,P,166010,8,0
31,P,166843,8,1
31,P,168932,8,1
31,W,211665,0,1
31,W,224608,7,1
31,W,224961,7,0
31,W,224963,7,1
31,W,225023,7,0
31,W,225160,8,0
31,W,225670,8,1
31,W,226670,8,1
32,D,49349,0,1
32,D,63443,7,1
32,D,63610,7,0
32,D,64009,8,0
32,D,64193,8,1
32,D,64676,8,1
32,J,212524,0,1
32,J,222705,7,1
32,J,223042,7,0
32,J,223255,8,0
32,J,223431,8,1
32,J,223455,8,0
32,J,225790,8,0
32,M,16887,0,0
32,M,31622,7,1
32,M,31893,7,0
32,M,31895,7,1
32,M,31925,7,0
32,M,32183,8,0
32,M,32443,8,1
32,M,34585,8,1
32,P,73269,0,1
32,P,85189,7,1
32,P,85400,7,0
32,P,85751,8,0
32,P,85919,8,1
32,P,87444,8,1
32,W,244171,0,0
32,W,257182,7,1
32,W,257388,7,0
32,W,257390,7,1
32,W,257402,7,0
32,W,257781,8,0
32,W,258243,8,1
32,W,260940,8,1
33,D,611098,0,1
33,D,624934,7,1
33,D,625154,7,0
33,D,625156,7,1
33,D,625166,7,0
33,D,625497,8,0
