task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
W,81.8107,87.0322,733.4,26.2003,8,3.0191,1342.9318,1,5.510087989,0.320597334,75,17.351734,7.871751128,0.020206404,0,0,0,0,0,0,0,0,8.1,139.3442555
D,72.2094,76.2002,830.9167,21.0786,5.142857,4.256,919.6352,0.064877717,1.640648966,0.085170461,34,24.193618,6.066671716,0.01634838,1950.10946,67.24515379,53127.5,30,22.700945,42.35379586,0.038628472,924.5140021,3.9,27.40910809
J,70.4414,74.3679,851.7714,20.4242,3.888889,0.1333,29.7221,0.959946146,6.855668157,0.355896009,61,23.191956,7.735159747,0.022328318,275.122088,137.561044,5370.5,3,0.380715,78.99159664,0.009657118,87.1883336,7.766666667,16.48818188
M,76.8375,80.4074,780.8684,20.0009,5.428571,4.4419,180.5784,0.712491277,3.461961704,0.17971966,44,22.109694,6.663532683,0.012201003,1075.453397,89.62111644,12060,13,5.539791,47.20873786,0.024414063,354.329147,6.083333333,16.77751572
P,71.9688,73.8007,833.6944,21.072,6,1.3736,206.5136,0.748782185,3.372745715,0.175088221,50,22.821742,7.933659185,0.022665895,786.4582401,52.43054934,8073,16,6.231447,44.32132964,0.018663194,316.2301654,5.666666667,29.81586077
W,70.6547,75.3012,849.2,24.0999,4.375,3.8283,171.8707,0.809326425,4.455122758,0.231277298,50,21.930042,7.203891857,0.015190972,886.0487606,73.83739672,6318,13,3.736893,55.43478261,0.021484375,267.9089302,5.816666667,35.00499222
D,83.7237,92.6784,716.6429,22.9738,4.666667,2.8141,839.7008,0.06824147,-0.489123329,-0.042977707,49,21.348348,5.850009647,0.011332948,3799.705186,82.60228664,33786,47,20.566991,50.9054326,0.05327691,829.5226959,7.1,43.39569405
J,83.9021,86.2317,715.119,20.8331,4.666667,0.4444,369.4006,0.961629081,4.254228576,0.373805493,99,20.186178,8.655508384,0.033950617,225.3287622,45.06575244,4333.5,6,0.480863,73.68421053,0.0078125,77.45423227,4.5,36.56913416
M,81.1158,84.0336,739.6829,24.7857,5.125,0.6056,324.9089,0.966689799,2.164229748,0.190163964,72,20.106945,8.255981208,0.027826003,507.1518825,169.0506275,9185.5,4,0.781438,66.66666667,0.005642361,43.96172901,4.833333333,25.69575666
P,83.4907,87.4636,718.6429,21.1624,6,1.3668,461.2889,0.858153639,1.656738912,0.145572363,93,22.110123,8.092260408,0.027295525,335.7220629,37.30245143,2979,10,3.45603,49.64370546,0.009440104,186.5583647,5.716666667,31.92025656
W,82.3486,85.5676,728.6098,23.3745,5.857143,0.9461,312.3034,0.968707483,0.779424094,0.068485509,78,23.122176,7.79898428,0.022038966,75,75,0,2,0.480869,45.65217391,0.004123264,56.52127691,4.733333333,70.05079412
D,87.9677,102.9513,682.0682,39.9475,11,12.7984,7331.7064,0.093581081,-0.023153992,-0.001653075,41,25.275844,6.338342638,0.016010802,3890.162375,114.4165404,38557.5,35,24.354143,34.5881476,0.03765191,628.3606575,2.75,49.92227243
J,89.8174,104.1667,668.0222,23.8643,11.25,10.2605,1876.3442,1,5.421470889,0.387064827,85,11.951792,8.875857713,0.038966049,0,0,0,0,0,0,0,0,4.533333333,39.88396934
M,88.9098,95.4502,674.8409,33.3347,6.285714,1.8415,2735.694,1,5.00209662,0.357123685,68,21.629513,7.391570333,0.017746914,0,0,0,0,0,0,0,0,3.933333333,48.84661637
