id,task,START,TOR1,AD_off,TOR2,AD_On,END,abnormal,RT_adoff,T_steer,RT_steer,T_gas,RT_gas,,window start_fromend ,
44,J,279583,289637,289974,290216,290492,291670,,5.616666667,290013,6.266666667,290252,10.25,,137.5666667,02:18
44,M,192934,207735,208239,208277,209069,209824,1,8.4,208253,8.633333333,208808,17.88333333,,216.6833333,03:37
44,P,244579,256373,256712,256941,257423,258756,,5.65,256765,6.533333333,256997,10.4,,166.5666667,02:47
44,W,302468,315477,315810,316050,316411,317811,,5.55,315892,6.916666667,315804,5.45,,186.8166667,03:07
45,D,203847,217749,217980,218315,218821,219445,,3.85,217975,3.766666667,218263,8.566666667,,201.7,03:22
45,J,255083,265137,265538,265683,265798,269092,,6.683333333,265514,6.283333333,NA,#VALUE!,,137.5666667,02:18
45,M,307441,322182,322610,322730,322999,324082,,7.133333333,322572,6.5,NA,#VALUE!,,215.6833333,03:36
45,P,223912,235769,236109,236319,236434,237530,,5.666666667,236119,5.833333333,NA,#VALUE!,,167.6166667,02:48
45,W,282147,295158,295572,295705,295832,296977,,6.9,295543,6.416666667,NA,#VALUE!,,186.85,03:07
46,D,253841,267740,268038,268304,268492,269740,,4.966666667,268031,4.85,NA,#VALUE!,,201.65,03:22
46,J,171521,181575,181911,182125,182300,182999,,5.6,181945,6.166666667,NA,#VALUE!,,137.5666667,02:18
46,M,225250,240118,240419,240685,240808,241506,,5.016666667,240435,5.283333333,NA,#VALUE!,,217.8,03:38
46,P,140119,151914,152317,152463,152707,153832,,6.716666667,152265,5.85,NA,#VALUE!,,166.5833333,02:47
46,W,197610,210744,211162,211290,211680,212250,,6.966666667,211195,7.516666667,NA,#VALUE!,,188.9,03:09
47,D,13967,27738,27940,28303,28619,30019,,3.366666667,27960,3.7,27920,3.033333333,,199.5166667,03:20
47,J,123513,133435,133968,133980,135907,136775,,8.883333333,133855,7,133930,8.25,,135.3666667,02:15
47,M,183083,197823,198188,198373,198577,199209,,6.083333333,198163,5.666666667,198411,9.8,,215.6666667,03:36
47,P,34727,47670,47956,48222,48410,50206,,4.766666667,47926,4.266666667,48010,5.666666667,,185.7166667,03:06
47,W,154710,167719,168006,168272,168459,169969,,4.783333333,168053,5.566666667,168187,7.8,,186.8166667,03:07
48,D,253679,267519,267721,268084,268267,269199,,3.366666667,267705,3.1,267694,2.916666667,,200.6666667,03:21
48,J,298972,308960,309362,309507,309815,310951,,6.7,309345,6.416666667,NA,#VALUE!,,136.4666667,02:16
48,M,228421,243226,243524,243778,244043,244967,,4.966666667,243599,6.216666667,NA,#VALUE!,,216.75,03:37
48,P,274493,286222,286496,286778,287014,288495,,4.566666667,286480,4.3,NA,#VALUE!,,165.4833333,02:45
48,W,198248,211383,211670,211936,212769,215236,,4.783333333,211668,4.75,212129,12.43333333,,188.9166667,03:09
50,D,199973,213812,213977,214380,215011,215507,,2.75,214038,3.766666667,214199,6.45,,200.65,03:21
50,J,259054,269043,269380,269593,269962,270775,,5.616666667,269373,5.5,269496,7.55,,136.4833333,02:16
50,M,312673,327413,327776,327962,328294,329011,,6.05,327789,6.266666667,327946,8.883333333,,215.6666667,03:36
50,P,230595,242326,242603,242881,243379,244070,,4.616666667,242608,4.7,242706,6.333333333,,165.5166667,02:46
50,W,285076,298023,298374,298571,298892,300061,,5.85,298375,5.866666667,298445,7.033333333,,185.7833333,03:06
